last_name,first_name,full_name,player_id,year,years_played,debut year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,woba,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
Judge,Aaron,Aaron Judge,592450,2022,7,2016,30,570,696,177,87,28,0,62,175,111,25.1,15.9,0.311,0.686,0.422,1.108,0.458,80,2,-2,3,-2,81,8.4,23,104,10.6,0.554,0.552,10.4,0,101
Frazier,Adam,Adam Frazier,624428,2022,7,2016,30,541,602,129,100,22,4,3,73,46,12.1,7.6,0.238,0.311,0.299,0.61,0.274,-14,0,-1,1,2,-11,-1.3,21,9,0.7,0.492,0.492,0.7,0.3,8
Garcia,Adolis,Adolis Garcia,666969,2022,5,2018,29,605,657,151,85,34,5,27,183,40,27.9,6.1,0.25,0.456,0.3,0.756,0.324,7,5,1,4,-3,14,1.4,22,36,3.6,0.509,0.509,3.2,0,32
Pollock,AJ,AJ Pollock,572041,2022,11,2012,34,489,527,120,79,26,1,14,98,32,18.6,6.1,0.245,0.389,0.292,0.681,0.297,-6,-2,-1,0,-3,-12,-1.3,18,6,0.4,0.491,0.492,0.5,-0.4,6
Bohm,Alec,Alec Bohm,664761,2022,3,2020,25,586,631,164,124,24,3,13,110,31,17.4,4.9,0.28,0.398,0.315,0.713,0.31,4,0,-1,-17,2,-12,-1.2,22,9,0.8,0.492,0.492,2.6,-1.5,26
Kirk,Alejandro,Alejandro Kirk,672386,2022,3,2020,23,470,541,134,101,19,0,14,58,63,10.7,11.6,0.285,0.415,0.372,0.786,0.347,20,-5,0,4,1,20,2.1,18,39,3.9,0.515,0.513,3.5,0.5,34
Bregman,Alex,Alex Bregman,608324,2022,7,2016,28,548,656,142,81,38,0,23,77,87,11.7,13.3,0.259,0.454,0.366,0.82,0.358,23,0,-1,-4,4,22,2.3,22,45,4.5,0.515,0.515,5,0,49
Verdugo,Alex,Alex Verdugo,657077,2022,6,2017,26,593,644,166,115,39,1,11,86,42,13.4,6.5,0.28,0.405,0.328,0.732,0.319,1,-2,2,-5,-5,-9,-1,22,13,1.1,0.494,0.494,1.7,-1.2,18
Rosario,Amed,Amed Rosario,642708,2022,6,2017,26,637,670,180,134,26,9,11,111,25,16.6,3.7,0.283,0.403,0.312,0.715,0.311,3,5,0,4,8,19,2,22,42,4.2,0.514,0.513,3.8,1.2,37
Gimenez,Andres,Andres Gimenez,665926,2022,3,2020,23,491,557,146,100,26,3,17,112,34,20.1,6.1,0.297,0.466,0.368,0.834,0.364,25,4,1,17,5,52,5.5,19,71,7.4,0.538,0.534,5.6,2.4,54
Benintendi,Andrew,Andrew Benintendi,643217,2022,7,2016,27,461,521,140,109,23,3,5,77,52,14.8,10,0.304,0.399,0.372,0.771,0.342,14,1,0,2,-4,14,1.4,18,32,3.2,0.512,0.506,3,-0.3,29
McCutchen,Andrew,Andrew McCutchen,457705,2022,14,2009,35,515,580,122,80,25,0,17,124,57,21.4,9.8,0.237,0.384,0.316,0.7,0.309,-1,-2,0,5,-8,-7,-0.6,19,13,1.2,0.495,0.496,0.6,-0.3,8
Vaughn,Andrew,Andrew Vaughn,683734,2022,2,2021,24,510,555,138,92,28,1,17,96,31,17.3,5.6,0.271,0.429,0.321,0.75,0.327,7,-2,0,-17,-7,-18,-2,19,1,-0.2,0.485,0.488,1.7,-2.6,18
Rizzo,Anthony,Anthony Rizzo,519203,2022,12,2011,32,465,548,104,50,21,1,32,101,58,18.4,10.6,0.224,0.48,0.338,0.817,0.352,17,-1,0,-3,-7,5,0.5,19,24,2.3,0.504,0.503,2.7,-1.1,27
Santander,Anthony,Anthony Santander,623993,2022,6,2017,27,574,647,138,81,24,0,33,122,55,18.9,8.5,0.24,0.455,0.318,0.773,0.336,13,0,-1,-5,-7,0,-0.1,22,22,2.1,0.5,0.5,2.7,-1.3,27
Hays,Austin,Austin Hays,669720,2022,6,2017,26,535,582,134,81,35,2,16,114,34,19.6,5.8,0.25,0.413,0.306,0.719,0.314,4,-1,0,4,-5,2,0.2,20,22,2.2,0.502,0.502,1.8,-0.2,18
Riley,Austin,Austin Riley,663586,2022,4,2019,25,615,693,168,89,39,2,38,168,57,24.2,8.2,0.273,0.528,0.349,0.878,0.377,33,-2,-1,6,4,41,4.3,23,64,6.5,0.527,0.526,5.8,1.2,58
Bichette,Bo,Bo Bichette,666182,2022,4,2019,24,652,697,189,121,43,1,24,155,41,22.2,5.9,0.29,0.469,0.333,0.802,0.347,24,-3,-1,-16,9,13,1.4,23,36,3.6,0.509,0.509,5.4,-0.8,52
Witt Jr.,Bobby,Bobby Witt Jr.,677951,2022,1,2022,22,591,632,150,93,31,6,20,135,30,21.4,4.7,0.254,0.428,0.294,0.722,0.311,-2,5,1,-22,7,-11,-1.2,22,11,0.9,0.492,0.493,3.3,-1.6,33
Drury,Brandon,Brandon Drury,592273,2022,8,2015,29,518,568,136,75,31,2,28,126,38,22.2,6.7,0.263,0.492,0.32,0.813,0.35,15,-2,2,-7,-1,6,0.7,19,26,2.6,0.505,0.503,3.3,-0.8,33
