Rk,Name,Age,Tm,Tm_rDRS,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
806,Justin Verlander,39,HOU,67,AL,18,4,0.818,1.75,28,28,0,0,0,0,175,116,43,34,12,29,0,185,6,0,3,666,223,2.49,0.829,6,0.6,1.5,9.5,6.38,verlaju01
858,Kyle Wright,26,ATL,31,NL,21,5,0.808,3.19,30,30,0,0,0,0,180.1,156,67,64,19,53,0,174,9,0,7,738,128,3.58,1.159,7.8,0.9,2.6,8.7,3.28,wrighky01
855,Brandon Woodruff,29,MIL,51,NL,13,4,0.765,3.05,27,27,0,0,0,0,153.1,122,56,52,18,42,0,190,5,0,2,620,129,3.08,1.07,7.2,1.1,2.5,11.2,4.52,woodrbr01
627,Cal Quantrill,27,CLE,77,AL,15,5,0.75,3.38,32,32,0,0,0,0,186.1,178,78,70,21,47,0,128,10,0,3,770,113,4.12,1.208,8.6,1,2.3,6.2,2.72,quantca01
265,Zac Gallen,26,ARI,55,NL,12,4,0.75,2.54,31,31,0,0,0,0,184,121,56,52,15,47,0,192,12,0,5,714,158,3.05,0.913,5.9,0.7,2.3,9.4,4.09,galleza01
28,Tyler Anderson*,32,LAD,84,NL,15,5,0.75,2.57,30,28,0,0,0,0,178.2,145,57,51,14,34,0,138,9,0,6,707,160,3.31,1.002,7.3,0.7,1.7,7,4.06,anderty01
164,Nestor Cortes*,27,NYY,129,AL,12,4,0.75,2.44,28,28,0,1,1,0,158.1,108,44,43,16,38,0,163,2,0,1,615,158,3.12,0.922,6.1,0.9,2.2,9.3,4.29,cortene01
798,Framber Valdez*,28,HOU,67,AL,17,6,0.739,2.82,31,31,0,3,1,0,201.1,166,71,63,11,67,0,194,11,1,11,827,138,3.06,1.157,7.4,0.5,3,8.7,2.9,valdefr01
767,Jameson Taillon,30,NYY,129,AL,14,5,0.737,3.91,32,32,0,0,0,0,177.1,168,78,77,26,32,0,151,5,0,3,728,99,3.94,1.128,8.5,1.3,1.6,7.7,4.72,taillja01
795,Julio Urías*,25,LAD,84,NL,17,7,0.708,2.16,31,31,0,0,0,0,175,127,51,42,23,41,0,166,5,1,0,689,190,3.71,0.96,6.5,1.2,2.1,8.5,4.05,uriasju01
817,Taijuan Walker,29,NYM,1,NL,12,5,0.706,3.49,29,29,0,0,0,0,157.1,143,63,61,15,45,1,132,6,0,0,649,111,3.65,1.195,8.2,0.9,2.6,7.6,2.93,walketa01
468,Alek Manoah,24,TOR,43,AL,16,7,0.696,2.24,31,31,0,0,0,0,196.2,144,55,49,16,51,0,180,15,0,5,786,170,3.35,0.992,6.6,0.7,2.3,8.2,3.53,manoaal01
694,Max Scherzer,37,NYM,1,NL,11,5,0.688,2.29,23,23,0,0,0,0,145.1,108,39,37,13,24,0,173,11,0,1,565,169,2.62,0.908,6.7,0.8,1.5,10.7,7.21,scherma01
283,Logan Gilbert,25,SEA,38,AL,13,6,0.684,3.2,32,32,0,0,0,0,185.2,170,71,66,19,49,2,174,6,0,5,766,118,3.46,1.18,8.2,0.9,2.4,8.4,3.55,gilbelo01
120,Carlos Carrasco,35,NYM,1,NL,15,7,0.682,3.97,29,29,0,0,0,0,152,161,71,67,17,41,2,152,8,0,5,645,97,3.53,1.329,9.5,1,2.4,9,3.71,carraca01
181,Yu Darvish,35,SDP,6,NL,16,8,0.667,3.1,30,30,0,0,0,0,194.2,148,67,67,22,37,0,197,12,1,4,771,122,3.31,0.95,6.8,1,1.7,9.1,5.32,darviyu01
259,Max Fried*,28,ATL,31,NL,14,7,0.667,2.48,30,30,0,0,0,0,185.1,156,55,51,12,32,2,170,4,0,9,733,166,2.7,1.014,7.6,0.6,1.6,8.3,5.31,friedma01
717,Brady Singer,25,KCR,-37,AL,10,5,0.667,3.23,27,24,2,0,0,0,153.1,140,58,55,18,35,0,150,11,1,3,621,125,3.58,1.141,8.2,1.1,2.1,8.8,4.29,singebr01
